svace_severity,svace_checker,file,svace_line,class_name,anchor_status,status,state,verdict_kind,red_verified,green_verified,prove_attempts,test_path,pr_title,verdict_text
Minor,FB.PATH_TRAVERSAL_IN,org/owasp/webgoat/container/WebGoat.java,31.0,WebGoat,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/WebGoatFsmProofTest.java,Fix path traversal vulnerability in pluginTargetDirectory bean,"The marker is a false positive. The webgoatHome parameter is populated via Spring's @Value(""${webgoat.user.directory}"") annotation, which resolves deployment-time configuration from application.properties or environment variables, not from untrusted runtime user input. Furthermore, instantiating new"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/WebSecurityConfig.java,24.0,WebSecurityConfig,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/WebSecurityConfigFsmProofTest.java,FB.EI_EXPOSE_REP2 at WebSecurityConfig.java:24,"The marker flags private final UserService userDetailsService; at line 24, claiming the constructor stores a mutable object without a defensive copy. This is a false positive because UserService is declared as an interface, which cannot hold mutable state that would be leaked through a reference. Fu"
Minor,PROC_USE.VULNERABLE,org/owasp/webgoat/container/WebSecurityConfig.java,61.0,WebSecurityConfig,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/WebSecurityConfigFsmProofTest.java,PROC_USE.VULNERABLE at WebSecurityConfig.java:61,"The marker claims that a process is launched from an externally-controlled command string at line 61, but the code at that location is simply .oauth2Login(oidc -> { ... }), a Spring Security configuration call that registers OAuth2/OIDC authentication filters. This method chain exclusively configure"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/WebSecurityConfig.java,77.0,WebSecurityConfig,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/WebSecurityConfigFsmProofTest.java,Fix EI_EXPOSE_REP warning in WebSecurityConfig,"The FB.EI_EXPOSE_REP checker incorrectly flags configureGlobal() as a getter exposing internal mutable state, but the method is a Spring @Autowired configuration callback with a void return type. It does not return any field; instead, it passes the injected userDetailsService dependency to the frame"
Major,FB.ST_WRITE_TO_STATIC_FROM_INSTANCE_METHOD,org/owasp/webgoat/container/asciidoc/EnvironmentExposure.java,28.0,EnvironmentExposure,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/asciidoc/EnvironmentExposureFsmProofTest.java,Remove static modifier from EnvironmentExposure fields and methods,"The marker flags the assignment at line 28 as a potential race condition because an instance method writes to a static field. However, this class implements Spring's ApplicationContextAware interface, and the setApplicationContext callback is invoked exactly once by the container during singleton be"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/assignments/AttackResult.java,17.0,AttackResult,no-method,verified,pr_ready,true-positive,True,True,2,src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java,Defensively copy feedbackArgs in AttackResult getter,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The @Getter annotation genera"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/assignments/AttackResult.java,19.0,AttackResult,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java,Return defensive copies for mutable array fields in AttackResult,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: Lombok's @Getter annotation g"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/assignments/AttackResult.java,46.0,AttackResult,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java,Defensive copy `feedbackArgs` in `AttackResult` constructor,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly assi"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/assignments/AttackResult.java,48.0,AttackResult,exact,reproduced,fix_failed,true-positive-unfixed,True,False,1,src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java,Fix mutable array exposure in AttackResult constructor,"CONFIRMED as a real defect, but UNFIXED. JUnit test `src/test/java/org/owasp/webgoat/container/assignments/AttackResultFsmProofTest.java` on JDK 25 fails on the unpatched code, which demonstrates the marker holds. No source-only fix could be produced that made it pass (edit not applied: src/main/jav"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/assignments/AttackResultMessageResponseBodyAdvice.java,23.0,AttackResultMessageResponseBodyAdvice,exact,infra_stuck,infra_error,undetermined,False,False,3,src/test/java/org/owasp/webgoat/container/assignments/AttackResultMessageResponseBodyAdviceFsmProofTest.java,FB.EI_EXPOSE_REP2 at AttackResultMessageResponseBodyAdvice.java:23,"NOT SETTLED. The pipeline could not get this marker to a testable state after 3 attempts, so nothing here is a judgement about the code — the marker is neither confirmed nor refuted and still needs a human. What blocked it: reproducer reply was not parseable JSON."
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/assignments/LessonTrackerInterceptor.java,29.0,LessonTrackerInterceptor,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/assignments/LessonTrackerInterceptorFsmProofTest.java,Fix EI_EXPOSE_REP2 static analysis warning in LessonTrackerInterceptor,"The constructor directly assigns the course and userProgressRepository parameters to instance fields, triggering the EI_EXPOSE_REP2 warning about storing mutable references. However, this class is annotated with @RestControllerAdvice, meaning it is instantiated and wired exclusively by the Spring Fr"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/controller/StartLesson.java,19.0,StartLesson,exact,reproduced,fix_failed,true-positive-unfixed,True,False,2,src/test/java/org/owasp/webgoat/container/controller/StartLessonFsmProofTest.java,Fix FB.EI_EXPOSE_REP2 by defensively copying lessons list in StartLesson,"CONFIRMED as a real defect, but UNFIXED. JUnit test `src/test/java/org/owasp/webgoat/container/controller/StartLessonFsmProofTest.java` on JDK 25 fails on the unpatched code, which demonstrates the marker holds. No source-only fix could be produced that made it pass, so this marker needs a human to "
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/i18n/Language.java,17.0,Language,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/i18n/LanguageFsmProofTest.java,FB.EI_EXPOSE_REP2 at Language.java:17,"The marker targets the Lombok-generated constructor for the field `private final LocaleResolver localeResolver;`, claiming it exposes mutable internals. However, `LocaleResolver` is a Spring framework interface, not a mutable concrete class or collection. In dependency injection, storing direct refe"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/lessons/Assignment.java,29.0,Assignment,no-method,reproduced,fix_failed,true-positive-unfixed,True,False,1,src/test/java/org/owasp/webgoat/container/lessons/AssignmentFsmProofTest.java,Fix: Return defensive copy of hints list in Assignment,"CONFIRMED as a real defect, but UNFIXED. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/AssignmentFsmProofTest.java` on JDK 25 fails on the unpatched code, which demonstrates the marker holds. No source-only fix could be produced that made it pass, so this marker needs a human to writ"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/Assignment.java,49.0,Assignment,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/AssignmentFsmProofTest.java,Fix encapsulation violation by defensively copying hints list in Assignment constructor,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/AssignmentFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly assigns th"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/CourseConfiguration.java,34.0,CourseConfiguration,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/CourseConfigurationFsmProofTest.java,Defensively copy mutable lists in CourseConfiguration constructor,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/CourseConfigurationFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly a"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/CourseConfiguration.java,35.0,CourseConfiguration,exact,verified,pr_ready,true-positive,True,True,2,src/test/java/org/owasp/webgoat/container/lessons/CourseConfigurationFsmProofTest.java,Defensively copy assignments list in CourseConfiguration constructor,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/CourseConfigurationFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly a"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/Lesson.java,13.0,Lesson,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/LessonFsmProofTest.java,Defensively copy assignments list in Lesson setter,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/LessonFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: Lombok's @Setter annotation generates a"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/lessons/Lesson.java,16.0,Lesson,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/LessonFsmProofTest.java,Return defensive copy from Lesson.getAssignments(),"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/LessonFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The @Getter annotation on the Lesson cl"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/LessonConnectionInvocationHandler.java,23.0,LessonConnectionInvocationHandler,exact,reproduced,fix_failed,true-positive-unfixed,True,False,1,src/test/java/org/owasp/webgoat/container/lessons/LessonConnectionInvocationHandlerFsmProofTest.java,Fix FB.EI_EXPOSE_REP2 by wrapping Connection in a defensive proxy,"CONFIRMED as a real defect, but UNFIXED. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/LessonConnectionInvocationHandlerFsmProofTest.java` on JDK 25 fails on the unpatched code, which demonstrates the marker holds. No source-only fix could be produced that made it pass, so this marke"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/lessons/LessonMenuItem.java,49.0,LessonMenuItem,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/LessonMenuItemFsmProofTest.java,Return defensive copy in LessonMenuItem.getChildren() to preserve encapsulation,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/LessonMenuItemFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: getChildren() returns a direct "
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/lessons/LessonMenuItem.java,58.0,LessonMenuItem,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/lessons/LessonMenuItemFsmProofTest.java,Fix encapsulation violation in LessonMenuItem.setChildren,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/lessons/LessonMenuItemFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The setChildren method assigns "
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/report/ReportCardController.java,26.0,ReportCardController,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java,Suppress EI_EXPOSE_REP2 warning in ReportCardController constructor,"The marker flags the direct assignment `this.course = course` in the constructor, claiming an external caller retains a mutable handle. This is a false positive because `Course` is a Spring-injected dependency managed by the framework's singleton bean lifecycle, not an arbitrary object passed by app"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/report/ReportCardController.java,27.0,ReportCardController,exact,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java,FB.EI_EXPOSE_REP2 at ReportCardController.java:27,"The constructor at line 27 directly assigns the injected PluginMessages reference to an instance field, which the checker flags as exposing mutable internals. However, this follows standard Spring Framework dependency injection, where the container itself supplies and manages these beans during inst"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/report/ReportCardController.java,57.0,ReportCardController,exact,verified,needs_review,needs-review,True,True,1,src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java,Fix mutable state exposure in ReportCard record,"CONFIRMED by execution, but the RESULT IS NOT TRUSTWORTHY AS IT STANDS and a human must look before anything is proposed. JUnit test `src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java` on JDK 25 flipped red to green, however: ⚠ THE TEST DOES NOT EXERCISE THE REAL"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/report/ReportCardController.java,57.0,ReportCardController,exact,verified,needs_review,needs-review,True,True,1,src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java,Defensive copy lesson statistics in ReportCard record,"CONFIRMED by execution, but the RESULT IS NOT TRUSTWORTHY AS IT STANDS and a human must look before anything is proposed. JUnit test `src/test/java/org/owasp/webgoat/container/report/ReportCardControllerFsmProofTest.java` on JDK 25 flipped red to green, however: ⚠ THE TEST DOES NOT EXERCISE THE REAL"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/service/HintService.java,39.0,HintService,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/service/HintServiceFsmProofTest.java,Return defensive copy of hints in HintService,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/service/HintServiceFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: getHints() returns the internal al"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/LabelDebugService.java,21.0,LabelDebugService,no-method,verified,pr_ready,true-positive,True,True,2,src/test/java/org/owasp/webgoat/container/service/LabelDebugServiceFsmProofTest.java,Isolate LabelDebugService state to prevent external mutation,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/service/LabelDebugServiceFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The service directly delegat"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/LabelService.java,21.0,LabelService,no-method,false_positive,false_positive,false-positive,False,True,2,src/test/java/org/owasp/webgoat/container/service/LabelServiceFsmProofTest.java,FB.EI_EXPOSE_REP2 at LabelService.java:21,"The checker flags the Lombok-generated constructor for storing mutable references without copying, but this is a false positive in a Spring context. The `messages` and `pluginMessages` fields are injected by the Spring container, not supplied by untrusted callers, and the class never exposes these i"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/LessonInfoService.java,17.0,LessonInfoService,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/service/LessonInfoServiceFsmProofTest.java,Suppress EI_EXPOSE_REP2 warning for injected Course bean,"The marker flags the Lombok-generated constructor for `private final Course course;` (line 17) under `FB.EI_EXPOSE_REP2`, claiming it stores an externally supplied mutable object without defensive copying. This is a false positive because `Course` is a Spring-managed service bean injected via constr"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/LessonMenuService.java,26.0,LessonMenuService,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/service/LessonMenuServiceFsmProofTest.java,Prevent external mutation of internal configuration lists in LessonMenuService,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/service/LessonMenuServiceFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly ass"
Major,FB.GC_UNRELATED_TYPES,org/owasp/webgoat/container/service/LessonMenuService.java,64.0,LessonMenuService,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/service/LessonMenuServiceFsmProofTest.java,Fix GC_UNRELATED_TYPES warning and potential NPE in lesson sorting,"The checker alleges a generic call mixes unrelated types, but the actual source shows correctly typed stream and collection operations. The lessons.stream().sorted(Comparator.comparing(Lesson::getTitle)) call infers Lesson from the upstream List<Lesson>, and categoryItem.getChildren().sort(Comparato"
Normal,COLLECTION.WRONG_ARG_TYPE,org/owasp/webgoat/container/service/LessonMenuService.java,64.0,LessonMenuService,no-method,verified,pr_ready,true-positive,True,True,2,src/test/java/org/owasp/webgoat/container/service/LessonMenuServiceFsmProofTest.java,Fix lesson exclusion logic in LessonMenuService,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/service/LessonMenuServiceFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The code checked excludeLess"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/LessonProgressService.java,27.0,LessonProgressService,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/service/LessonProgressServiceFsmProofTest.java,Fix FB.EI_EXPOSE_REP2 in LessonProgressService,"The marker targets the Lombok-generated constructor for the @RequiredArgsConstructor fields userProgressRepository and course. FindBugs flags direct assignment of externally supplied mutable objects, but here the objects are Spring-managed beans injected by the framework, not arbitrary caller-suppli"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/RestartLessonService.java,26.0,RestartLessonService,no-method,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/service/RestartLessonServiceFsmProofTest.java,Fix mutable list exposure in RestartLessonService constructor,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/service/RestartLessonServiceFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor directly "
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/service/SessionService.java,16.0,SessionService,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/service/SessionServiceFsmProofTest.java,FB.EI_EXPOSE_REP2 at SessionService.java:16,"The marker flags the Lombok-generated constructor created by `@RequiredArgsConstructor`, which assigns the injected `RestartLessonService` and `Messages` beans to `final` fields. `FB.EI_EXPOSE_REP2` warns against storing mutable external references without defensive copying, but here the sole caller"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/session/Course.java,19.0,Course,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java,Defensively copy lessons list in Course constructor and setter,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor and setter directly ass"
Minor,FB.EI_EXPOSE_REP,org/owasp/webgoat/container/session/Course.java,48.0,Course,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java,Return defensive copy from Course.getLessons(),"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The getLessons() method returned a dire"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/session/Course.java,62.0,Course,exact,verified,pr_ready,true-positive,True,True,1,src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java,Fix mutable list exposure in Course constructor and setter,"CONFIRMED, and fixed. JUnit test `src/test/java/org/owasp/webgoat/container/session/CourseFsmProofTest.java` on JDK 25 fails on the unpatched code and passes after the recorded change, so the marker describes a real defect and the fix addresses it. Root cause: The constructor and setter directly ass"
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/users/RegistrationController.java,28.0,RegistrationController,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/users/RegistrationControllerFsmProofTest.java,FB.EI_EXPOSE_REP2 at RegistrationController.java:28,"The marker flags the field `private final UserValidator userValidator;` at line 28, assuming an untrusted caller passes a mutable reference that could later mutate the controller's internals. However, this class is annotated with `@RequiredArgsConstructor`, which generates a constructor exclusively "
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/users/Scoreboard.java,25.0,Scoreboard,unresolved,infra_stuck,infra_error,undetermined,False,False,3,src/test/java/org/owasp/webgoat/container/users/ScoreboardFsmProofTest.java,FB.EI_EXPOSE_REP2 at Scoreboard.java:25,"NOT SETTLED. The pipeline could not get this marker to a testable state after 3 attempts, so nothing here is a judgement about the code — the marker is neither confirmed nor refuted and still needs a human. What blocked it: source fetch returned nothing."
Minor,FB.EI_EXPOSE_REP2,org/owasp/webgoat/container/users/UserService.java,22.0,UserService,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/users/UserServiceFsmProofTest.java,Fix FB.EI_EXPOSE_REP2 by defensively copying lessonInitializables list,"The marker flags the Lombok-generated constructor for storing injected dependencies like `UserRepository` directly into `private final` fields. This is a standard false positive for Spring-managed beans: the sole caller is the trusted Spring IoC container, and the fields are strictly encapsulated wi"
Minor,PROC_USE.VULNERABLE,org/owasp/webgoat/container/users/UserValidator.java,35.0,UserValidator,no-method,false_positive,false_positive,false-positive,False,False,2,src/test/java/org/owasp/webgoat/container/users/UserValidatorFsmProofTest.java,PROC_USE.VULNERABLE at UserValidator.java:35,"The marker claims external process execution, but UserValidator contains zero calls to Runtime.exec(), ProcessBuilder, or any OS-level command invocation. The class strictly implements Spring's Validator interface, performing only a JPA repository lookup via userRepository.findByUsername() and a pla"
